 View more SEND E-TFR ***GjY View more SEND E-TFR ***GjY,{'Advertising&Marketing': 0.4774562519, 'Wages&Salaries': 0.0698630941, 'HumanIntertaction': 0.05718039479999999, 'ClothingHairMakeupCollabo': 0.0482625095, 'Automobile': 0.044307389600000004, 'GSTHSTITCs': 0.0394765498, 'Materials': 0.0225345987, 'TDBank': 0.0215227703, 'WebsiteDomains&Email': 0.0184388377, 'TDVisa': 0.0109137919, 'Shipping': 0.010805654800000002, 'Meals&Entertainment': 0.0092361422, 'Insurance': 0.0092099034, 'Travel': 0.0086714407, 'OfficeExpenses': 0.0084275693, 'RentorLeasePayments': 0.0048448029, 'Apps&Subscriptions': 0.004799263099999999, 'BankCharges': 0.004021297199999999}
 View more E-TRANSFER ***nhn View more E-TRANSFER ***nhn,{'Advertising&Marketing': 0.48953689000000006, 'GSTHSTITCs': 0.0532347076, 'HumanIntertaction': 0.0505660394, 'Wages&Salaries': 0.0467107635, 'ClothingHairMakeupCollabo': 0.0446384563, 'Materials': 0.0187269709, 'TDBank': 0.0165159449, 'WebsiteDomains&Email': 0.0161983664, 'Automobile': 0.0148034603, 'TDVisa': 0.0133583728, 'Shipping': 0.012710882, 'Insurance': 0.0112122778, 'Meals&Entertainment': 0.0080602682, 'OfficeExpenses': 0.0079018493, 'Travel': 0.007651459100000001, 'Apps&Subscriptions': 0.0065985548, 'RentorLeasePayments': 0.0063661732, 'BankCharges': 0.0023670146}
 View more SEND E-TFR ***Cw2 View more SEND E-TFR ***Cw2,{'Advertising&Marketing': 0.7219620058999999, 'ClothingHairMakeupCollabo': 0.0313841215, 'Wages&Salaries': 0.0289039055, 'Materials': 0.0208888882, 'HumanIntertaction': 0.014914607399999998, 'Automobile': 0.0148320843, 'WebsiteDomains&Email': 0.010746816400000001, 'TDBank': 0.0097238259, 'OfficeExpenses': 0.0081437275, 'TDVisa': 0.0056708123, 'GSTHSTITCs': 0.0054980617, 'Meals&Entertainment': 0.0051071455, 'Shipping': 0.004093219, 'Travel': 0.0035294877000000002, 'Insurance': 0.003306439, 'RentorLeasePayments': 0.0028155513, 'Apps&Subscriptions': 0.0021327586, 'BankCharges': 0.0016109886}
 Upwork -306071370REF Upwork.com/bi IE,{'Advertising&Marketing': 0.8212401545, 'WebsiteDomains&Email': 0.019273913400000002, 'ClothingHairMakeupCollabo': 0.0130977621, 'Materials': 0.012002989700000001, 'Automobile': 0.010662850100000001, 'OfficeExpenses': 0.009847066800000002, 'TDBank': 0.009352147000000002, 'Wages&Salaries': 0.006446592899999999, 'TDVisa': 0.0053712761999999995, 'Meals&Entertainment': 0.0043589509, 'HumanIntertaction': 0.0033997365, 'GSTHSTITCs': 0.002576801, 'RentorLeasePayments': 0.0024204364, 'Shipping': 0.0022955932, 'Insurance': 0.0022668278, 'Apps&Subscriptions': 0.0020559918, 'Travel': 0.0016361595, 'BankCharges': 0.000575758}
 Upwork -307117671REF Upwork.com/bi IE,{'Advertising&Marketing': 0.8100901432, 'WebsiteDomains&Email': 0.029709784, 'Automobile': 0.010861732800000001, 'TDBank': 0.0095137742, 'OfficeExpenses': 0.0084649587, 'ClothingHairMakeupCollabo': 0.0076445659, 'Materials': 0.0074094151, 'TDVisa': 0.0067759293, 'Wages&Salaries': 0.0065024648, 'Meals&Entertainment': 0.004570937000000001, 'HumanIntertaction': 0.003896129, 'GSTHSTITCs': 0.0033119383, 'RentorLeasePayments': 0.0027639067, 'Shipping': 0.0019957615999999997, 'Insurance': 0.0019753936, 'Apps&Subscriptions': 0.0018252458, 'Travel': 0.001515983, 'BankCharges': 0.0005393442}
 Upwork -308029294REF Upwork.com/bi IE,{'Advertising&Marketing': 0.7050990146, 'WebsiteDomains&Email': 0.0441023445, 'TDBank': 0.0336516973, 'ClothingHairMakeupCollabo': 0.021431573000000002, 'Wages&Salaries': 0.019136274, 'OfficeExpenses': 0.0142139654, 'Apps&Subscriptions': 0.013950175100000002, 'Materials': 0.0121284065, 'Automobile': 0.0106336424, 'TDVisa': 0.0096357975, 'HumanIntertaction': 0.0096219446, 'Meals&Entertainment': 0.0074745521, 'RentorLeasePayments': 0.0060341674, 'GSTHSTITCs': 0.0053062268, 'Shipping': 0.0049090602, 'Insurance': 0.0043719168, 'Travel': 0.0027624200000000002, 'BankCharges': 0.0007153845000000001}
 ADOBE CREATIVE CLOUD 4085366000 CA US,{'Advertising&Marketing': 0.8403526171, 'WebsiteDomains&Email': 0.021724105599999998, 'TDBank': 0.013790131, 'Materials': 0.005936774499999999, 'Wages&Salaries': 0.0057560084, 'Automobile': 0.0046182827, 'OfficeExpenses': 0.004468478, 'ClothingHairMakeupCollabo': 0.0041191177, 'TDVisa': 0.004091503, 'GSTHSTITCs': 0.0034381317000000003, 'RentorLeasePayments': 0.0032790772999999997, 'Meals&Entertainment': 0.002931828, 'HumanIntertaction': 0.0025839328, 'Apps&Subscriptions': 0.0023747457, 'Shipping': 0.0018659692, 'Travel': 0.0015116167000000002, 'Insurance': 0.0012515094, 'BankCharges': 0.0002215845}
 GOOGLE *ADS8718729364 855-222-8603,{'Advertising&Marketing': 0.6339381343, 'WebsiteDomains&Email': 0.032553966, 'Automobile': 0.016597273, 'ClothingHairMakeupCollabo': 0.0151527973, 'Materials': 0.0114875624, 'OfficeExpenses': 0.0106549534, 'TDBank': 0.0099405281, 'Wages&Salaries': 0.0074526034000000005, 'TDVisa': 0.0069934828, 'HumanIntertaction': 0.0060539198, 'Apps&Subscriptions': 0.005351256299999999, 'GSTHSTITCs': 0.0044221099, 'Meals&Entertainment': 0.0043758247, 'RentorLeasePayments': 0.004191778699999999, 'Shipping': 0.003930785500000001, 'Travel': 0.0031884289, 'Insurance': 0.0022184670999999996, 'BankCharges': 0.000683287}
 FACEBK L75YXTAGX2 650-5434800 CA US,{'Advertising&Marketing': 0.6345680466, 'WebsiteDomains&Email': 0.049974326400000005, 'Automobile': 0.021311846199999998, 'TDBank': 0.017485805899999998, 'ClothingHairMakeupCollabo': 0.0163209509, 'OfficeExpenses': 0.012574313699999999, 'Wages&Salaries': 0.0115465567, 'Materials': 0.011002821199999999, 'TDVisa': 0.009786914, 'HumanIntertaction': 0.008675849999999999, 'GSTHSTITCs': 0.0059473207, 'Meals&Entertainment': 0.005587134499999999, 'RentorLeasePayments': 0.0055604899, 'Apps&Subscriptions': 0.0053880051, 'Shipping': 0.0039446842, 'Travel': 0.0037110333, 'Insurance': 0.0036671683, 'BankCharges': 0.0009281366}
 Upwork -309880815REF Upwork.com/bi IE,{'Advertising&Marketing': 0.6032428844000001, 'WebsiteDomains&Email': 0.0574210611, 'TDBank': 0.0321699446, 'ClothingHairMakeupCollabo': 0.0267241592, 'Wages&Salaries': 0.0240363419, 'OfficeExpenses': 0.0208866571, 'Materials': 0.013398129400000002, 'Automobile': 0.013312361299999999, 'HumanIntertaction': 0.0131455472, 'TDVisa': 0.0125079578, 'Apps&Subscriptions': 0.0118159077, 'Meals&Entertainment': 0.0098041669, 'RentorLeasePayments': 0.0074226614, 'Insurance': 0.007282983200000001, 'GSTHSTITCs': 0.0068790760000000005, 'Shipping': 0.005825951, 'Travel': 0.0036590864999999995, 'BankCharges': 0.0011823537}
 Upwork -309925320REF Upwork.com/bi IE,{'Advertising&Marketing': 0.5424825457, 'WebsiteDomains&Email': 0.0691709141, 'TDBank': 0.023018114300000003, 'Automobile': 0.0147879016, 'Wages&Salaries': 0.0141742333, 'OfficeExpenses': 0.0139018184, 'Materials': 0.013569035799999999, 'TDVisa': 0.0127046508, 'HumanIntertaction': 0.0114630233, 'ClothingHairMakeupCollabo': 0.0099793949, 'GSTHSTITCs': 0.0082545736, 'RentorLeasePayments': 0.0076085083, 'Meals&Entertainment': 0.0075069396, 'Insurance': 0.006138775899999999, 'Apps&Subscriptions': 0.0060396636, 'Shipping': 0.0045876728, 'Travel': 0.0040761731, 'BankCharges': 0.001347247}
